,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1873,1873,5,Fresh_Graduate,690811,17,no,gold,6,,,2,4,1,terrace,10,N.S,2,,654749,,Accept,6
1874,1874,5,Fresh_Graduate,584859,11,yes,normal,6,19,,,,1,terrace,,N.S,,5096,1446612,9832,Accept,9
1875,1875,5,Fresh_Graduate,485602,21,no,normal,6,19,5,2,4,1,terrace,10,N.S,3,11544,633199,18432,Accept,7
1876,1876,5,Fresh_Graduate,,20,yes,platinum,6,,5,2,4,2,terrace,,N.S,1,6231,1030387,,Accept,9
1877,1877,5,Fresh_Graduate,,10,no,gold,6,19,,2,4,2,terrace,10,N.S,,,1372601,,Accept,7
1878,1878,5,Fresh_Graduate,460499,20,yes,gold,6,,5,2,,1,terrace,10,N.S,1,6920,765807,10260,Accept,8
1879,1879,5,Fresh_Graduate,554317,12,no,normal,6,19,5,2,4,1,terrace,10,N.S,1,,626260,18294,Accept,7
1880,1880,5,Fresh_Graduate,769546,12,yes,normal,6,19,5,2,4,3,terrace,10,N.S,2,6346,426976,8450,Accept,7
1881,1881,5,Fresh_Graduate,266135,11,no,normal,6,19,5,2,4,3,terrace,10,N.S,2,,581160,11037,Accept,6
1882,1882,5,Fresh_Graduate,401643,,yes,normal,6,19,5,2,4,3,terrace,10,N.S,,,770693,16950,Reject,7
1883,1883,5,Fresh_Graduate,465188,14,no,platinum,6,,,,4,2,terrace,,N.S,1,8235,742590,17411,Reject,6
1884,1884,5,Fresh_Graduate,606920,18,yes,normal,6,19,5,2,4,1,terrace,10,N.S,,12147,1117309,,Accept,9
1885,1885,5,Fresh_Graduate,536137,15,no,normal,6,19,,2,4,3,terrace,10,N.S,2,8109,978529,,Accept,6
1886,1886,5,Fresh_Graduate,285205,,yes,gold,6,19,,2,4,3,terrace,10,N.S,,6408,,,Accept,9
1887,1887,5,Fresh_Graduate,453561,,no,platinum,6,19,,2,,1,terrace,,N.S,,7091,725578,,Accept,9
1888,1888,5,Fresh_Graduate,228535,24,yes,normal,6,,,2,,3,terrace,10,N.S,3,,1384073,,Accept,7
1889,1889,5,Fresh_Graduate,473380,20,no,gold,6,19,5,2,4,2,terrace,10,N.S,,5200,,19806,Reject,8
1890,1890,5,Fresh_Graduate,263219,,yes,normal,6,19,5,,4,2,terrace,,N.S,,5504,701420,13768,Reject,8
1891,1891,5,Fresh_Graduate,458569,21,no,gold,6,,5,,4,1,terrace,10,N.S,2,6979,1294186,,Accept,9
1892,1892,5,Fresh_Graduate,,,yes,normal,6,,5,2,,1,terrace,,N.S,,12198,1103409,,Reject,7
1893,1893,5,Fresh_Graduate,691624,,no,normal,6,19,,2,4,2,terrace,10,N.S,3,11737,1181250,,Reject,6
1894,1894,5,Fresh_Graduate,518115,12,yes,gold,6,19,,2,,3,terrace,10,N.S,3,4867,1350172,,Accept,8
1895,1895,5,Fresh_Graduate,340079,12,no,normal,6,19,5,,4,1,terrace,10,N.S,,7481,970731,9214,Accept,6
1896,1896,5,Fresh_Graduate,,10,yes,,6,,5,,4,1,terrace,10,N.S,2,,1337629,,Reject,6
1897,1897,5,Fresh_Graduate,351490,24,no,gold,6,19,5,2,4,1,terrace,,N.S,,,1249453,,Accept,8
1898,1898,5,Fresh_Graduate,505162,24,yes,normal,6,,5,2,4,2,,10,N.S,1,11368,1163213,10598,Accept,9
1899,1899,5,Fresh_Graduate,439643,21,no,platinum,6,19,5,2,,3,terrace,10,N.S,3,,1151717,,Accept,6
1900,1900,7,Fresh_Graduate,578752,19,yes,normal,6,19,6,5,,2,condominium,10,Sarawak,3,,467818,,Accept,9
1901,1901,7,Fresh_Graduate,768786,,no,normal,6,19,6,5,4,2,condominium,10,Sarawak,,7968,1123028,15816,Reject,6
1902,1902,7,Fresh_Graduate,607537,13,yes,normal,6,19,,5,4,1,condominium,10,Sarawak,2,9498,1186354,13407,Accept,6
1903,1903,7,Fresh_Graduate,498850,,no,normal,6,,6,5,4,2,condominium,10,Sarawak,,10281,502313,9994,Accept,9
1904,1904,7,Fresh_Graduate,284369,12,yes,gold,6,19,6,,4,1,condominium,10,Sarawak,2,6442,,,Accept,6
1905,1905,7,Fresh_Graduate,733761,,no,gold,6,,6,5,,2,condominium,,Sarawak,3,5028,966636,11727,Accept,8
1906,1906,7,Fresh_Graduate,448111,18,yes,gold,6,,6,5,,2,condominium,10,Sarawak,,6336,643481,11580,Accept,6
1907,1907,7,Fresh_Graduate,574998,22,no,normal,6,19,6,,4,1,condominium,10,Sarawak,,5157,1280253,19602,Accept,7
1908,1908,7,Fresh_Graduate,217840,14,yes,normal,6,,6,5,4,3,condominium,10,Sarawak,,9799,1340350,13048,Accept,7
1909,1909,7,Fresh_Graduate,753710,14,no,gold,6,19,6,,4,3,condominium,10,Sarawak,,,1322984,,Reject,7
1910,1910,7,Fresh_Graduate,728241,11,yes,gold,6,19,6,5,4,2,condominium,10,Sarawak,2,11609,1136396,,Accept,6
1911,1911,7,Fresh_Graduate,541858,,no,normal,6,19,6,,4,3,condominium,,Sarawak,2,5597,,15696,Accept,6
1912,1912,7,Fresh_Graduate,268616,,yes,normal,6,19,,5,4,1,condominium,10,Sarawak,2,5109,770739,,Accept,9
1913,1913,7,Fresh_Graduate,573899,14,no,,6,19,6,5,4,3,condominium,10,Sarawak,,6666,1376062,19352,Accept,7
1914,1914,7,Fresh_Graduate,428659,14,yes,gold,6,19,,5,4,2,condominium,10,Sarawak,1,,969954,,Accept,8
1915,1915,7,Fresh_Graduate,391251,15,no,gold,6,,,5,,3,condominium,10,Sarawak,1,12286,1270179,18599,Accept,7
1916,1916,7,Fresh_Graduate,,17,yes,gold,6,19,,5,4,3,condominium,10,Sarawak,1,5293,739749,18531,Accept,7
1917,1917,7,Fresh_Graduate,558142,18,no,normal,6,19,6,5,4,1,condominium,10,Sarawak,,6226,1380306,,Accept,8
1918,1918,7,Fresh_Graduate,,20,yes,normal,6,19,6,,4,2,condominium,10,Sarawak,2,6926,1058859,18374,Accept,8
1919,1919,7,Fresh_Graduate,410035,,no,normal,6,19,6,5,4,3,condominium,10,Sarawak,1,,1316141,,Accept,9
1920,1920,7,Fresh_Graduate,,22,yes,normal,6,19,6,5,,1,condominium,10,Sabah,,3611,1155236,,Accept,9
1921,1921,7,Fresh_Graduate,,,no,normal,6,,6,5,4,1,condominium,,Sabah,,5562,1003369,,Accept,9
1922,1922,7,Fresh_Graduate,139096,,yes,gold,6,,6,5,4,3,,10,Sabah,,3649,553642,12636,Reject,7
1923,1923,7,Fresh_Graduate,759439,20,no,normal,6,,6,,4,3,condominium,,Sabah,3,3585,,,Reject,7
1924,1924,7,Fresh_Graduate,738805,20,yes,normal,6,19,6,5,,1,condominium,10,Sabah,,9366,1142894,11068,Accept,6
1925,1925,7,Fresh_Graduate,300161,,no,normal,6,,6,5,4,2,condominium,10,Sabah,3,10010,1191156,7598,Accept,8
1926,1926,7,Fresh_Graduate,340703,,yes,normal,6,19,6,5,4,1,condominium,10,Sabah,1,10678,876620,17602,Accept,7
1927,1927,7,Fresh_Graduate,481175,,no,normal,6,,6,5,4,3,condominium,10,Sabah,,4503,867794,19883,Accept,8
1928,1928,7,Fresh_Graduate,471003,,yes,gold,6,,6,,4,3,condominium,10,Sabah,1,9508,569021,19712,Accept,7
1929,1929,7,Fresh_Graduate,351965,18,no,normal,6,19,6,5,4,1,condominium,10,Sabah,3,5215,989891,10670,Reject,9
1930,1930,7,Fresh_Graduate,,24,yes,,6,,6,5,,3,condominium,,Sabah,3,,438805,,Accept,9
1931,1931,7,Fresh_Graduate,409440,14,no,normal,6,19,6,,,2,condominium,10,Sabah,,,606667,,Accept,8
1932,1932,7,Fresh_Graduate,737666,,yes,gold,6,19,,,,2,condominium,10,Sabah,,3619,1295323,,Accept,6
1933,1933,7,Fresh_Graduate,101667,16,no,platinum,6,19,,,4,2,condominium,10,Sabah,2,10288,506433,7797,Accept,9
1934,1934,7,Fresh_Graduate,721707,15,yes,normal,6,19,6,,4,1,condominium,,Sabah,3,,1367722,,Reject,7
1935,1935,7,Fresh_Graduate,284312,15,no,normal,6,19,6,,4,3,condominium,10,Sabah,1,11977,688883,12831,Accept,8
1936,1936,7,Fresh_Graduate,201156,10,yes,gold,6,19,,,4,2,condominium,10,Sabah,3,4486,1037460,17220,Accept,9
1937,1937,7,Fresh_Graduate,160790,15,no,,6,19,6,,4,1,condominium,10,Sabah,,8971,970760,15344,Accept,9
1938,1938,7,Fresh_Graduate,479484,18,yes,normal,6,,6,5,,3,condominium,10,Sabah,2,,682804,16561,Accept,6
1939,1939,7,Fresh_Graduate,125399,19,no,normal,6,19,6,5,4,3,condominium,10,Sabah,,12010,,18315,Reject,6
1940,1940,7,Fresh_Graduate,225481,18,yes,gold,6,,,5,4,3,condominium,10,SWK,,4167,1092550,,Accept,6
1941,1941,7,Fresh_Graduate,699872,13,no,normal,6,19,6,5,,2,condominium,,SWK,2,5869,1183955,13084,Accept,9
1942,1942,7,Fresh_Graduate,,18,yes,platinum,6,19,6,5,4,2,condominium,10,SWK,3,8497,929346,,Accept,8
1943,1943,7,Fresh_Graduate,771554,12,no,platinum,6,19,6,,,1,condominium,10,SWK,3,9566,548085,,Reject,7
1944,1944,7,Fresh_Graduate,514818,,yes,normal,6,19,,5,4,1,condominium,10,SWK,2,,903341,,Accept,9
1945,1945,7,Fresh_Graduate,582544,16,no,gold,6,,6,5,4,3,,,SWK,,8122,746439,11220,Reject,6
1946,1946,7,Fresh_Graduate,,12,yes,gold,6,19,6,5,,2,condominium,,SWK,,9997,808201,,Accept,8
1947,1947,7,Fresh_Graduate,,19,no,platinum,6,19,,5,,3,condominium,10,SWK,2,,770828,18882,Accept,9
1948,1948,7,Fresh_Graduate,470315,12,yes,normal,6,19,,,,1,condominium,10,SWK,2,5318,872787,,Accept,8
1949,1949,7,Fresh_Graduate,625964,,no,normal,6,,6,,,3,,10,SWK,1,9676,587313,,Reject,6
1950,1950,7,Fresh_Graduate,,20,yes,platinum,6,19,6,,4,2,condominium,10,SWK,1,11520,1192369,16018,Accept,6
1951,1951,7,Fresh_Graduate,203642,,no,normal,6,19,6,5,4,1,condominium,10,SWK,2,12431,1370286,,Reject,9
1952,1952,7,Fresh_Graduate,757564,,yes,normal,6,,6,5,4,1,condominium,10,SWK,,8350,1065858,11005,Accept,6
1953,1953,7,Fresh_Graduate,256395,,no,gold,6,19,6,,,3,condominium,10,SWK,,9972,1318379,13302,Accept,6
1954,1954,7,Fresh_Graduate,101673,,yes,normal,6,19,6,5,,1,condominium,10,SWK,2,8561,1305334,18589,Accept,7
1955,1955,7,Fresh_Graduate,373000,15,no,platinum,6,19,6,,4,1,condominium,,SWK,3,,548893,15515,Accept,7
1956,1956,7,Fresh_Graduate,369403,13,yes,normal,6,19,6,5,,2,condominium,10,SWK,2,,1075948,11357,Reject,6
1957,1957,7,Fresh_Graduate,249722,11,no,normal,6,19,,5,4,1,condominium,10,SWK,2,11583,900209,,Reject,8
1958,1958,7,Fresh_Graduate,539447,23,yes,normal,6,19,,5,4,1,condominium,,SWK,1,3765,1341072,12767,Accept,8
1959,1959,7,Fresh_Graduate,,10,no,normal,6,,,5,4,1,condominium,,SWK,2,12510,1002611,,Reject,8
1960,1960,7,Fresh_Graduate,124485,23,yes,normal,6,19,6,5,,3,condominium,10,Trengganu,3,10110,964199,,Reject,6
1961,1961,7,Fresh_Graduate,313673,19,no,normal,6,19,,5,,1,condominium,10,Trengganu,1,,813007,8706,Accept,6
1962,1962,7,Fresh_Graduate,,13,yes,normal,6,19,6,,,1,condominium,10,Trengganu,,10339,1161759,12614,Accept,9
1963,1963,7,Fresh_Graduate,364328,,no,,6,,6,5,,3,condominium,,Trengganu,,4784,1274858,10804,Accept,9
1964,1964,7,Fresh_Graduate,751023,13,yes,gold,6,19,6,5,,3,,10,Trengganu,2,12119,845520,10383,Accept,9
1965,1965,7,Fresh_Graduate,,16,no,gold,6,19,6,,,3,,10,Trengganu,3,4011,825776,,Accept,8
1966,1966,7,Fresh_Graduate,433898,21,yes,platinum,6,19,6,,4,3,,10,Trengganu,,9856,1031954,,Accept,8
1967,1967,7,Fresh_Graduate,,12,no,gold,6,,,5,4,3,condominium,10,Trengganu,1,8908,583595,8001,Reject,6
1968,1968,7,Fresh_Graduate,660784,13,yes,normal,6,,6,5,,2,condominium,,Trengganu,3,,630096,14073,Accept,8
1969,1969,7,Fresh_Graduate,373257,24,no,gold,6,19,6,5,4,1,,,Trengganu,2,,620132,8966,Accept,7
1970,1970,7,Fresh_Graduate,,23,yes,normal,6,19,,5,4,1,condominium,10,Trengganu,,6197,725214,,Reject,9
1971,1971,7,Fresh_Graduate,218927,13,no,normal,6,19,,,4,3,condominium,,Trengganu,,8783,,,Accept,6
1972,1972,7,Fresh_Graduate,548428,17,yes,normal,6,,6,5,,3,condominium,10,Trengganu,2,4706,791402,,Accept,9
1973,1973,7,Fresh_Graduate,507073,13,no,normal,6,19,6,5,4,3,condominium,10,Trengganu,2,6373,549930,11163,Reject,9
1974,1974,7,Fresh_Graduate,,24,yes,normal,6,19,6,,4,1,condominium,10,Trengganu,1,3828,972876,15497,Accept,6
1975,1975,7,Fresh_Graduate,118923,13,no,normal,6,19,6,5,,1,condominium,10,Trengganu,2,8431,490989,16458,Accept,8
1976,1976,7,Fresh_Graduate,142721,12,yes,normal,6,19,6,,4,3,condominium,,Trengganu,1,4493,1060864,14975,Accept,9
1977,1977,7,Fresh_Graduate,756867,23,no,normal,6,,6,5,,1,condominium,,Trengganu,1,4653,1427133,10962,Reject,7
1978,1978,7,Fresh_Graduate,,20,yes,gold,6,19,,,4,3,condominium,10,Trengganu,3,6266,618817,18384,Accept,7
1979,1979,7,Fresh_Graduate,796686,10,no,normal,6,,6,,4,2,condominium,10,Trengganu,,5164,1006140,15560,Accept,8
1980,1980,7,Fresh_Graduate,,18,yes,gold,6,19,6,,4,1,condominium,,Kedah,,4814,1092161,11894,Reject,6
1981,1981,7,Fresh_Graduate,,13,no,gold,6,19,6,5,4,2,condominium,10,Kedah,,,926353,15574,Accept,9
1982,1982,7,Fresh_Graduate,515397,21,yes,normal,6,,6,5,,1,condominium,10,Kedah,1,8297,708427,,Accept,6
1983,1983,7,Fresh_Graduate,466506,17,no,normal,6,19,6,5,,1,,10,Kedah,,3720,1048103,,Accept,6
1984,1984,7,Fresh_Graduate,601256,16,yes,platinum,6,19,6,5,4,3,,10,Kedah,2,7173,578813,10574,Accept,8
1985,1985,7,Fresh_Graduate,593106,17,no,gold,6,19,6,5,,3,condominium,,Kedah,1,11502,1412526,16275,Accept,8
1986,1986,7,Fresh_Graduate,,10,yes,normal,6,19,6,,4,2,condominium,10,Kedah,1,4083,611698,14000,Reject,6
1987,1987,7,Fresh_Graduate,309550,24,no,normal,6,19,,5,4,1,,,Kedah,,5213,1358855,,Accept,7
1988,1988,7,Fresh_Graduate,,,yes,gold,6,,6,,4,2,condominium,10,Kedah,3,,1397560,8018,Accept,9
1989,1989,7,Fresh_Graduate,731015,10,no,gold,6,19,6,5,,3,condominium,10,Kedah,,11135,,16248,Accept,8
1990,1990,7,Fresh_Graduate,176253,10,yes,gold,6,19,,,4,1,condominium,10,Kedah,2,9932,771839,,Accept,8
1991,1991,7,Fresh_Graduate,,,no,normal,6,19,6,,4,1,condominium,10,Kedah,,6899,541331,13217,Reject,7
1992,1992,7,Fresh_Graduate,144859,16,yes,gold,6,19,,5,,2,condominium,10,Kedah,,7703,1031800,17441,Accept,6
1993,1993,7,Fresh_Graduate,535214,23,no,gold,6,19,6,5,,2,condominium,,Kedah,2,8752,1053941,17102,Reject,7
1994,1994,7,Fresh_Graduate,422331,23,yes,normal,6,,6,5,4,1,condominium,10,Kedah,3,5702,,,Reject,7
1995,1995,7,Fresh_Graduate,582574,11,no,gold,6,19,6,5,,1,condominium,,Kedah,,,636933,,Accept,9
1996,1996,7,Fresh_Graduate,478593,24,yes,normal,6,19,,5,,3,condominium,10,Kedah,3,10560,718453,16830,Accept,7
1997,1997,7,Fresh_Graduate,,17,no,normal,6,19,,,,3,condominium,10,Kedah,3,,998304,14361,Accept,8
1998,1998,7,Fresh_Graduate,668457,10,yes,normal,6,,6,5,4,1,condominium,10,Kedah,,11131,778633,,Accept,7
1999,1999,7,Fresh_Graduate,456246,11,no,gold,6,19,6,,4,2,condominium,10,Kedah,3,,1171283,11214,Accept,9
2000,2000,5,employee,152802,,yes,normal,2,13,4,,1,1,flat,,Kuala Lumpur,1,10578,438998,,Reject,7
2001,2001,5,employee,152733,14,no,normal,2,,4,2,,1,,13,Kuala Lumpur,,4982,540495,,Accept,7
2002,2002,5,employee,361444,14,yes,normal,2,,,,1,2,flat,13,Kuala Lumpur,,10043,,,Accept,8
2003,2003,5,employee,173051,12,no,normal,2,13,4,2,1,3,flat,13,Kuala Lumpur,1,6696,755062,18830,Accept,8
2004,2004,5,employee,,21,yes,gold,2,,4,,,3,flat,13,Kuala Lumpur,3,5210,493203,16701,Accept,9
2005,2005,5,employee,783076,23,no,gold,2,,,2,,1,flat,13,Kuala Lumpur,,5406,531214,7882,Accept,6
2006,2006,5,employee,754301,24,yes,gold,2,13,4,,,3,flat,13,Kuala Lumpur,1,9094,786873,17582,Accept,7
2007,2007,5,employee,,23,no,normal,2,13,4,2,1,1,flat,13,Kuala Lumpur,,4609,1194434,17246,Accept,8
2008,2008,5,employee,435034,10,yes,normal,2,13,4,2,1,3,flat,13,Kuala Lumpur,,11562,1374796,19447,Accept,8
2009,2009,5,employee,315373,24,no,gold,2,13,4,,1,3,flat,13,Kuala Lumpur,2,,883799,8064,Accept,8
2010,2010,5,employee,,10,yes,normal,2,13,,2,1,2,flat,13,Kuala Lumpur,,5704,622861,,Accept,6
2011,2011,5,employee,141056,10,no,normal,2,13,4,2,,3,flat,13,Kuala Lumpur,,10953,876921,18059,Reject,6
2012,2012,5,employee,783386,,yes,,2,13,4,2,1,3,flat,13,Kuala Lumpur,3,,1230774,8927,Accept,6
2013,2013,5,employee,460100,12,no,normal,2,13,4,2,1,3,flat,13,Kuala Lumpur,2,6017,1330422,8592,Accept,8
2014,2014,5,employee,326642,,yes,normal,2,13,4,2,1,1,flat,13,Kuala Lumpur,,11770,684627,,Accept,8
2015,2015,5,employee,374968,,no,gold,2,,,,1,1,flat,13,Kuala Lumpur,3,,1354863,13003,Accept,7
2016,2016,5,employee,386815,,yes,normal,2,,4,2,1,2,flat,13,Kuala Lumpur,2,7830,1332222,17247,Accept,9
2017,2017,5,employee,,,no,normal,2,13,,2,1,2,flat,13,Kuala Lumpur,,8373,742281,18034,Accept,7
2018,2018,5,employee,154470,20,yes,normal,2,,4,2,1,2,flat,13,Kuala Lumpur,,5329,454882,10847,Accept,8
2019,2019,5,employee,,15,no,platinum,2,13,4,2,1,2,flat,13,Kuala Lumpur,2,12504,808370,10790,Reject,9
2020,2020,5,employee,661233,18,yes,normal,2,13,,,1,2,flat,,Kuala Lumpur,2,,813833,,Reject,7
2021,2021,5,employee,255679,21,no,gold,2,13,4,2,1,1,flat,13,Kuala Lumpur,3,10337,,,Reject,8
2022,2022,5,employee,,14,yes,,2,13,4,,1,1,flat,13,Kuala Lumpur,1,,423946,16960,Accept,9
2023,2023,5,employee,354468,10,no,gold,2,13,,2,1,2,,,Kuala Lumpur,,7501,597089,10859,Accept,9
2024,2024,5,employee,264198,19,yes,gold,2,13,,2,1,1,flat,13,Kuala Lumpur,,3982,745353,,Accept,6
2025,2025,5,employee,532388,,no,normal,2,13,4,2,1,1,,13,Kuala Lumpur,1,4607,854792,19506,Reject,9
2026,2026,5,employee,418285,,yes,normal,2,13,4,2,1,2,flat,,Kuala Lumpur,3,6786,1132938,9232,Reject,9
2027,2027,5,employee,622679,,no,gold,2,,4,,1,2,,13,Kuala Lumpur,1,4902,693791,8402,Accept,7
2028,2028,5,employee,407596,18,yes,normal,2,13,4,2,1,2,flat,13,Kuala Lumpur,3,,1047739,,Reject,7
2029,2029,5,employee,,15,no,normal,2,13,4,2,1,1,flat,,Kuala Lumpur,1,4104,481441,10933,Accept,9
2030,2030,5,employee,233882,18,yes,platinum,2,,,,1,3,flat,13,Kuala Lumpur,2,11619,1377443,16303,Accept,8
2031,2031,5,employee,,23,no,normal,2,,,2,1,1,flat,,Kuala Lumpur,2,7349,1379160,18445,Accept,8
2032,2032,5,employee,,14,yes,normal,2,,,2,,3,,13,Kuala Lumpur,1,,1068411,12712,Accept,8
2033,2033,5,employee,163525,20,no,gold,2,,4,2,,3,,,Kuala Lumpur,,5209,544335,16557,Accept,6
2034,2034,5,employee,512435,13,yes,normal,2,,,2,,2,flat,13,Kuala Lumpur,2,8194,1303397,19887,Reject,6
2035,2035,5,employee,612057,19,no,normal,2,,4,,,2,flat,13,Kuala Lumpur,,5591,,,Accept,8
2036,2036,5,employee,449699,23,yes,platinum,2,,4,,,2,flat,,Kuala Lumpur,,6068,1282161,14939,Accept,7
2037,2037,5,employee,,19,no,normal,2,13,4,2,,1,flat,13,Kuala Lumpur,,7009,1132897,9915,Accept,8
2038,2038,5,employee,,14,yes,normal,2,13,4,2,,1,flat,13,Kuala Lumpur,,,886710,,Accept,9
2039,2039,5,employee,,,no,platinum,2,,4,,1,3,flat,13,Kuala Lumpur,2,9983,1128316,11291,Reject,7
2040,2040,5,employee,565131,20,yes,normal,2,13,4,,1,1,flat,,Kuala Lumpur,2,8824,940986,19693,Reject,8
2041,2041,5,employee,,,no,gold,2,13,4,2,1,2,flat,13,Kuala Lumpur,3,,1330073,17821,Reject,9
2042,2042,5,employee,539754,20,yes,normal,2,13,,,1,2,flat,13,Kuala Lumpur,,9204,959267,14295,Accept,6
2043,2043,5,employee,,18,no,normal,2,13,,2,1,3,flat,,Kuala Lumpur,1,,628561,13254,Accept,6
2044,2044,5,employee,310129,12,yes,normal,2,,4,,1,3,flat,13,Kuala Lumpur,2,,545296,,Accept,9
2045,2045,5,employee,477197,16,no,gold,2,13,4,,1,2,flat,13,Kuala Lumpur,1,,1193268,,Accept,9
2046,2046,5,employee,,15,yes,normal,2,13,4,,,2,flat,13,Kuala Lumpur,1,12165,651014,,Accept,7
2047,2047,5,employee,554620,14,no,normal,2,,,,,3,flat,13,Kuala Lumpur,2,12326,904270,19063,Accept,6
2048,2048,5,employee,319651,24,yes,gold,2,13,4,,,3,flat,13,Kuala Lumpur,,,853161,16750,Accept,7
2049,2049,5,employee,347936,,no,platinum,2,13,,,,3,flat,13,Kuala Lumpur,,4687,1325920,,Accept,9
2050,2050,5,employee,,21,yes,normal,2,13,,,,1,flat,13,Kuala Lumpur,2,12530,1290850,15521,Accept,6
2051,2051,5,employee,796559,,no,gold,2,13,,2,1,3,,13,Kuala Lumpur,,5409,,,Accept,9
2052,2052,5,employee,,10,yes,gold,2,,4,2,,1,flat,13,Kuala Lumpur,,,1004364,13024,Accept,8
2053,2053,5,employee,,23,no,normal,2,13,4,,1,2,,,Kuala Lumpur,3,3655,456091,,Accept,8
2054,2054,5,employee,,,yes,gold,2,,4,,1,3,,13,Kuala Lumpur,2,5916,459641,12033,Accept,9
2055,2055,5,employee,516692,15,no,gold,2,13,,2,1,3,,13,Kuala Lumpur,1,4346,,,Accept,9
2056,2056,5,employee,125582,,yes,gold,2,13,4,2,1,2,flat,13,Kuala Lumpur,2,4324,1362446,11752,Accept,6
2057,2057,5,employee,609663,19,no,normal,2,,4,2,,2,flat,13,Kuala Lumpur,,7280,1056389,,Reject,9
2058,2058,5,employee,,,yes,gold,2,13,,2,1,2,flat,,Kuala Lumpur,2,8499,1131459,9752,Accept,8
2059,2059,5,employee,,11,no,gold,2,13,4,2,,3,flat,13,Kuala Lumpur,,3754,,13602,Reject,9
2060,2060,5,employee,433474,10,yes,normal,2,,4,2,1,2,flat,13,Kuala Lumpur,1,10880,1013527,,Accept,6
2061,2061,5,employee,764285,22,no,gold,2,,4,2,,3,flat,13,Kuala Lumpur,,6011,1307495,18958,Accept,9
2062,2062,5,employee,578796,,yes,normal,2,13,,2,1,3,flat,13,Kuala Lumpur,1,11907,1028244,13158,Accept,7
2063,2063,5,employee,301882,13,no,platinum,2,,,2,1,3,flat,13,Kuala Lumpur,3,7686,1315986,,Accept,9
2064,2064,5,employee,157764,11,yes,gold,2,13,4,,1,1,flat,13,Kuala Lumpur,3,11794,577102,,Reject,8
2065,2065,5,employee,600032,21,no,normal,2,,4,2,,1,flat,,Kuala Lumpur,3,8550,1129991,,Reject,9
2066,2066,5,employee,674507,24,yes,gold,2,13,4,2,,1,flat,,Kuala Lumpur,,4318,1207971,,Accept,9
2067,2067,5,employee,,16,no,normal,2,13,,2,1,3,flat,13,Kuala Lumpur,1,,1302170,13300,Accept,6
2068,2068,5,employee,629914,14,yes,normal,2,13,4,,1,2,flat,13,Kuala Lumpur,2,6443,771025,16517,Accept,7
2069,2069,5,employee,120186,19,no,normal,2,,4,2,1,2,flat,13,Kuala Lumpur,3,9909,713735,,Accept,8
2070,2070,5,employee,110979,15,yes,normal,2,13,,2,,3,flat,13,Kuala Lumpur,,10422,1262544,,Accept,6
2071,2071,5,employee,251819,18,no,platinum,2,13,4,,1,2,flat,13,Kuala Lumpur,2,7009,1100867,12277,Accept,9
2072,2072,5,employee,,13,yes,gold,2,,4,2,1,1,flat,,Kuala Lumpur,,,521399,,Reject,9
2073,2073,5,employee,757902,,no,gold,2,13,4,,1,1,flat,13,Kuala Lumpur,2,,792406,,Accept,9
2074,2074,5,employee,101165,14,yes,normal,2,13,4,,,1,flat,13,Kuala Lumpur,,9477,1202085,16268,Accept,7
2075,2075,5,employee,619567,16,no,gold,2,13,,,1,1,flat,13,Kuala Lumpur,1,10377,1154415,,Reject,9
2076,2076,5,employee,764662,19,yes,normal,2,13,4,2,1,2,flat,,Kuala Lumpur,,8152,1313969,,Reject,6
2077,2077,5,employee,,,no,normal,2,13,4,2,1,1,flat,13,Kuala Lumpur,2,11266,1329216,14799,Reject,6
2078,2078,5,employee,528268,,yes,gold,2,13,4,2,1,1,flat,13,Kuala Lumpur,1,,1249273,15132,Accept,8
2079,2079,5,employee,263226,15,no,normal,2,13,4,,,2,flat,,Kuala Lumpur,1,9989,761553,,Reject,6
2080,2080,5,employee,,15,yes,gold,2,13,4,2,1,1,flat,13,Kuala Lumpur,3,,,,Reject,6
2081,2081,5,employee,751020,,no,platinum,2,13,4,2,,3,flat,13,Kuala Lumpur,3,12433,1209626,14101,Accept,6
2082,2082,5,employee,174386,20,yes,gold,2,13,4,2,1,2,flat,13,Kuala Lumpur,,11394,882547,,Reject,8
2083,2083,5,employee,717374,,no,normal,2,13,,,,3,flat,13,Kuala Lumpur,1,11187,1384624,,Reject,6
2084,2084,5,employee,206307,17,yes,gold,2,13,4,2,,3,,13,Kuala Lumpur,,4946,1188463,,Accept,7
2085,2085,5,employee,510116,18,no,platinum,2,13,4,,,1,flat,,Kuala Lumpur,1,8429,772529,,Reject,6
2086,2086,5,employee,757310,19,yes,gold,2,13,,,,2,flat,,Kuala Lumpur,1,4535,1376337,13689,Accept,7
2087,2087,5,employee,286353,11,no,normal,2,13,4,2,,1,flat,,Kuala Lumpur,3,7165,594468,10373,Accept,7
2088,2088,5,employee,697642,,yes,normal,2,13,4,2,1,1,flat,13,Kuala Lumpur,1,8453,1173758,17004,Reject,7
2089,2089,5,employee,275658,18,no,gold,2,13,4,2,,3,flat,13,Kuala Lumpur,2,10303,1419996,,Accept,6
